Provincia;Cod;Municipio;Total_Poblacion;Nacidos_ES;Nacidos_NO_ES;Total_Europa;Total_Unión_Europea;Alemania;Bulgaria;Francia;Italia;Polonia;Portugal;Reino_Unido;Rumanía;Total_Europa_No_Comunitaria;Rusia;Ucrania;Total_Africa;Argelia;Marruecos;Nigeria;Senegal;Total_América;Argentina;Bolivia;Brasil;Colombia;Cuba;Chile;Ecuador;Paraguay;Perú;Rep._Dominicana;Uruguay;Venezuela;Total_Asia;China;Pakistán;Oceanía;
Albacete;02001;"Abengibre";366;338;28;26;25;0;0;4;0;0;2;0;19;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
Albacete;02002;"Alatoz";325;295;30;30;29;0;7;0;0;0;0;1;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02003;"Albacete";84366;77789;6577;1653;1480;107;171;276;39;13;29;54;730;173;19;58;2114;124;675;12;479;2563;236;455;67;644;118;23;269;97;263;90;75;94;245;140;30;2;
Albacete;02004;"Albatana";367;349;18;1;0;0;0;0;0;0;0;0;0;1;1;0;3;0;3;0;0;14;0;4;0;5;0;1;4;0;0;0;0;0;0;0;0;0;
Albacete;02005;"Alborea";365;329;36;33;32;0;0;2;1;0;2;0;27;1;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02006;"Alcadozo";367;355;12;5;4;0;0;4;0;0;0;0;0;1;0;1;3;0;3;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
Albacete;02007;"Alcalá del Júcar";653;606;47;35;34;1;0;1;0;0;0;0;32;1;0;0;7;0;7;0;0;4;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;
Albacete;02008;"Alcaraz";741;719;22;11;10;0;0;2;0;0;0;0;8;1;0;1;3;0;1;0;0;7;4;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;
Albacete;02009;"Almansa";12332;11698;634;173;147;3;40;18;10;10;5;8;49;26;4;6;102;25;67;0;2;305;12;39;9;81;11;0;104;16;3;10;1;0;54;43;7;0;
Albacete;02010;"Alpera";1177;1091;86;53;53;0;6;13;0;0;0;0;34;0;0;0;15;0;14;0;0;18;0;2;0;0;0;0;3;12;0;0;0;0;0;0;0;0;
Albacete;02011;"Ayna";368;352;16;13;13;1;0;10;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
Albacete;02012;"Balazote";1202;1128;74;51;50;0;1;0;0;0;0;0;47;1;0;1;15;5;9;0;0;6;0;1;0;2;0;0;0;0;0;0;0;0;2;2;0;0;
Albacete;02014;"Ballestero,El";218;206;12;5;4;0;0;1;0;0;0;1;2;1;0;1;2;0;2;0;0;5;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0
Albacete;02013;"Balsa de Ves";87;77;10;4;4;0;0;0;0;0;0;0;4;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02015;"Barrax";971;904;67;55;55;0;0;0;0;0;0;0;55;0;0;0;8;0;7;0;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;
Albacete;02016;"Bienservida";332;327;5;2;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02017;"Bogarra";485;476;9;2;2;0;0;1;0;0;0;0;0;0;0;0;5;0;5;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02018;"Bonete";579;484;95;16;16;0;2;1;0;0;1;0;12;0;0;0;78;0;78;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02019;"Bonillo,El";1468;1428;40;20;12;1;0;2;0;0;0;0;9;8;1;0;12;2;10;0;0;8;3;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0
Albacete;02020;"Carcelén";278;261;17;11;10;0;1;1;0;0;0;0;8;1;0;0;2;0;2;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;
Albacete;02021;"Casas de Juan Núñez";693;634;59;11;11;0;2;1;0;0;0;0;7;0;0;0;42;0;42;0;0;5;2;0;0;0;2;0;1;0;0;0;0;0;1;0;1;0;
Albacete;02022;"Casas de Lázaro";212;209;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;
Albacete;02023;"Casas de Ves";338;314;24;16;15;0;0;1;0;0;0;0;14;1;0;0;5;0;5;0;0;3;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;
Albacete;02024;"Casas";2326;2047;279;158;136;2;17;11;1;0;0;2;103;22;3;15;69;3;64;0;1;47;3;19;0;4;1;0;17;0;2;0;0;1;5;2;1;0;
Albacete;02025;"Caudete";5146;4580;566;224;218;7;54;32;1;1;12;60;40;6;1;2;177;7;168;0;0;153;7;0;2;41;7;0;66;1;0;22;1;2;12;2;8;0;
Albacete;02026;"Cenizate";617;527;90;73;70;0;3;2;0;0;0;0;64;3;0;0;7;0;7;0;0;10;0;0;0;8;1;0;1;0;0;0;0;0;0;0;0;0;
Albacete;02029;"Chinchilla de Monte";2176;2045;131;65;63;2;11;6;2;0;0;0;40;2;0;0;20;2;17;0;0;44;3;7;1;12;0;0;8;2;2;0;4;1;2;2;0;0;
Albacete;02027;"Corral";192;188;4;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;
